"id"	"label"	"description"	"x"	"y"	"cluster"	"weight<EU pub.>"	"weight<Total  link strength>"	"weight<Mur pub.>"	"weight<Spain pub.>"	"weight<Links>"
666	666	"<table><tr><td>Micro-level field:</td><td>666</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>chronobiology international; journal of biological rhythms; plos one; proceedings of the national academy of sciences of the united states of america; biological rhythm research</td></tr><tr><td>Terms:</td><td>circadian clock; drosophila; neurospora; suprachiasmatic nucleus; bmal1</td></tr></table>"	"-0.7114"	"-0.0789"	2	4806	471871	125	450	2702
608	608	"<table><tr><td>Micro-level field:</td><td>608</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>theriogenology; biology of reproduction; molecular reproduction and development; reproduction in domestic animals; zygote</td></tr><tr><td>Terms:</td><td>somatic cell nuclear transfer; bovine embryo; bovine oocyte; developmental competence; parthenogenetic activation</td></tr></table>"	"-0.8012"	"-0.1842"	2	4619	349663	119	789	2391
436	436	"<table><tr><td>Micro-level field:</td><td>436</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of agricultural and food chemistry; food chemistry; journal of nutrition; acta horticulturae; american journal of clinical nutrition</td></tr><tr><td>Terms:</td><td>lycopene; carotenoid; lutein; tomato; vitamin e</td></tr></table>"	"-0.5503"	"-0.3392"	2	5734	535923	117	1136	2815
1013	1013	"<table><tr><td>Micro-level field:</td><td>1013</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of pineal research; international journal of molecular sciences; neuroendocrinology letters; chronobiology international; bulletin of experimental biology and medicine</td></tr><tr><td>Terms:</td><td>melatonin; exogenous melatonin; melatonin treatment; protective effect; harderian gland</td></tr></table>"	"-0.7294"	"-0.126"	2	3846	367533	110	1158	2587
136	136	"<table><tr><td>Micro-level field:</td><td>136</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of glaucoma; investigative ophthalmology & visual science; ophthalmology; american journal of ophthalmology; british journal of ophthalmology</td></tr><tr><td>Terms:</td><td>mitomycin c; latanoprost; trabeculectomy; pseudoexfoliation syndrome; selective laser trabeculoplasty</td></tr></table>"	"-0.7801"	"-0.0794"	2	7449	331061	100	755	2688
697	697	"<table><tr><td>Micro-level field:</td><td>697</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of environmental research and public health; journal of physical activity & health; bmc public health; international journal of behavioral nutrition and physical activity; pediatric exercise science</td></tr><tr><td>Terms:</td><td>motor competence; physical literacy; independent mobility; fundamental movement skill; physical education</td></tr></table>"	"-0.4705"	"0.5193"	2	6260	344342	98	1365	2025
184	184	"<table><tr><td>Micro-level field:</td><td>184</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>sleep; sleep medicine; chronobiology international; journal of sleep research; journal of clinical sleep medicine</td></tr><tr><td>Terms:</td><td>short sleep duration; sleep problem; insomnia symptom; fatigue; sleep quality</td></tr></table>"	"-0.6303"	"0.2402"	2	7150	617833	98	646	2850
943	943	"<table><tr><td>Micro-level field:</td><td>943</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of cardiology; journal of the american college of cardiology; american journal of cardiology; circulation; heart</td></tr><tr><td>Terms:</td><td>hypertrophic obstructive cardiomyopathy; arrhythmogenic cardiomyopathy; noncompaction; alcohol septal ablation; arrhythmogenic right ventricular dysplasia</td></tr></table>"	"-0.9028"	"-0.0122"	2	5135	214914	97	532	1877
3255	3255	"<table><tr><td>Micro-level field:</td><td>3255</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>plos one; veterinary journal; veterinary clinical pathology; veterinary immunology and immunopathology; research in veterinary science</td></tr><tr><td>Terms:</td><td>haptoglobin; tweak; c reactive protein; acute phase protein; weak inducer</td></tr></table>"	"-0.8224"	"-0.1554"	2	940	65915	93	245	1518
391	391	"<table><tr><td>Micro-level field:</td><td>391</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>developmental biology; development; developmental dynamics; mechanisms of development; proceedings of the national academy of sciences of the united states of america</td></tr><tr><td>Terms:</td><td>sea; ascidian; sea urchin; cripto; hox gene</td></tr></table>"	"-0.8"	"-0.1637"	2	7690	667186	92	856	2665
71	71	"<table><tr><td>Micro-level field:</td><td>71</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>multiple sclerosis journal; multiple sclerosis and related disorders; neurology; journal of neurology; journal of the neurological sciences</td></tr><tr><td>Terms:</td><td>multiple sclerosis; neuromyelitis optica; person; multiple; fatigue</td></tr></table>"	"-0.8043"	"-0.0581"	2	15635	569520	85	1900	2646
188	188	"<table><tr><td>Micro-level field:</td><td>188</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>medicine & science in sports & exercise; international journal of environmental research and public health; journal of physical activity & health; bmc public health; plos one</td></tr><tr><td>Terms:</td><td>occupational physical activity; office worker; exercise intensity; affective response; resistance exercise</td></tr></table>"	"-0.6333"	"0.3004"	2	9183	732344	85	1112	2713
1212	1212	"<table><tr><td>Micro-level field:</td><td>1212</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of agricultural and food chemistry; molecules; plos one; nutrients; international journal of molecular sciences</td></tr><tr><td>Terms:</td><td>alcohol consumption; trans resveratrol; wine; pterostilbene; alcohol</td></tr></table>"	"-0.7002"	"-0.3061"	2	3304	448114	85	649	2605
85	85	"<table><tr><td>Micro-level field:</td><td>85</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>psychopharmacology; pharmacology biochemistry and behavior; neuropsychopharmacology; journal of neuroscience; behavioural brain research</td></tr><tr><td>Terms:</td><td>tardive dyskinesia; cocaine self administration; heroin; cocaine; aripiprazole</td></tr></table>"	"-0.6785"	"0.0827"	2	8181	1053060	83	1029	2679
327	327	"<table><tr><td>Micro-level field:</td><td>327</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>spine; journal of manipulative and physiological therapeutics; bmc musculoskeletal disorders; european spine journal; manual therapy</td></tr><tr><td>Terms:</td><td>spinal manipulation; acute low back pain; whiplash injury; dry needling; cervical spine</td></tr></table>"	"-0.7822"	"0.2018"	2	8072	400247	83	969	2487
287	287	"<table><tr><td>Micro-level field:</td><td>287</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>gastrointestinal endoscopy; endoscopy; american journal of gastroenterology; world journal of gastroenterology; surgical endoscopy and other interventional techniques</td></tr><tr><td>Terms:</td><td>colorectal cancer screening; colonoscopy; ct colonography; endoscopic submucosal dissection; bowel preparation</td></tr></table>"	"-0.9292"	"-0.1007"	2	6267	317641	83	706	2574
235	235	"<table><tr><td>Micro-level field:</td><td>235</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>european journal of heart failure; international journal of cardiology; journal of cardiac failure; journal of the american college of cardiology; esc heart failure</td></tr><tr><td>Terms:</td><td>hyperkalemia; eplerenone; self care; aldosterone; mineralocorticoid receptor</td></tr></table>"	"-0.8883"	"-0.0085"	2	8630	610710	81	1240	2533
3	3	"<table><tr><td>Micro-level field:</td><td>3</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; journal of medical virology; scientific reports; viruses-basel; international journal of infectious diseases</td></tr><tr><td>Terms:</td><td>main protease; convalescent plasma; tocilizumab; mutation; chloroquine</td></tr></table>"	"-0.7005"	"-0.0761"	2	16173	1324850	80	2158	3748
599	599	"<table><tr><td>Micro-level field:</td><td>599</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biomechanics; british journal of sports medicine; american journal of sports medicine; gait & posture; journal of sports sciences</td></tr><tr><td>Terms:</td><td>stress fracture; shoe; anterior cruciate ligament; medial tibial stress syndrome; patellofemoral pain</td></tr></table>"	"-0.762"	"0.2261"	2	6319	271220	78	652	2179
341	341	"<table><tr><td>Micro-level field:</td><td>341</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>prostaglandins leukotrienes and essential fatty acids; american journal of clinical nutrition; nutrients; british journal of nutrition; lipids</td></tr><tr><td>Terms:</td><td>pregnancy; fatty acid supplementation; fish consumption; schizophrenia; omega</td></tr></table>"	"-0.7344"	"-0.1814"	2	7100	661067	73	992	2688
102	102	"<table><tr><td>Micro-level field:</td><td>102</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>leukemia; blood; leukemia research; british journal of haematology; leukemia & lymphoma</td></tr><tr><td>Terms:</td><td>down syndrome; mll; lower risk myelodysplastic syndrome; azacitidine; childhood acute lymphoblastic leukemia</td></tr></table>"	"-0.8839"	"-0.2322"	2	9959	644317	72	1052	2396
1176	1176	"<table><tr><td>Micro-level field:</td><td>1176</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>investigative ophthalmology & visual science; optometry and vision science; journal of aapos; ophthalmic and physiological optics; ophthalmology</td></tr><tr><td>Terms:</td><td>intermittent exotropia; myopia progression; amblyopia; myopia control; form deprivation myopia</td></tr></table>"	"-0.7773"	"-0.0694"	2	2953	111716	72	463	2154
16	16	"<table><tr><td>Micro-level field:</td><td>16</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>movement disorders; parkinsonism & related disorders; neurology; plos one; journal of parkinsons disease</td></tr><tr><td>Terms:</td><td>alpha synuclein; lewy body; lrrk2; parkin; dementia</td></tr></table>"	"-0.7425"	"-0.1253"	2	16760	1198431	71	2224	3082
563	563	"<table><tr><td>Micro-level field:</td><td>563</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>british journal of haematology; blood; leukemia & lymphoma; leukemia; haematologica</td></tr><tr><td>Terms:</td><td>multiple myeloma; thalidomide; relapsed refractory multiple myeloma; undetermined significance; myeloma</td></tr></table>"	"-0.88"	"-0.2151"	2	6229	299782	68	998	2271
414	414	"<table><tr><td>Micro-level field:</td><td>414</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>american journal of cardiology; american heart journal; international journal of cardiology; journal of the american college of cardiology; circulation</td></tr><tr><td>Terms:</td><td>door; unfractionated heparin; thrombus aspiration; bivalirudin; balloon time</td></tr></table>"	"-0.9054"	"0.0041"	2	6710	336208	68	951	2232
237	237	"<table><tr><td>Micro-level field:</td><td>237</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>critical care medicine; intensive care medicine; respiratory care; american journal of respiratory and critical care medicine; critical care</td></tr><tr><td>Terms:</td><td>noninvasive ventilation; positive end expiratory pressure; high flow nasal cannula; ventilation; prone position</td></tr></table>"	"-0.8568"	"0.0013"	2	8760	372608	65	1174	2629
191	191	"<table><tr><td>Micro-level field:</td><td>191</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>thyroid; journal of clinical endocrinology & metabolism; endocrine; clinical endocrinology; world journal of surgery</td></tr><tr><td>Terms:</td><td>papillary thyroid carcinoma; braf; v600e; papillary; thyroid cancer</td></tr></table>"	"-0.9294"	"-0.1642"	2	7317	274062	63	552	2479
920	920	"<table><tr><td>Micro-level field:</td><td>920</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>frontiers in immunology; journal of immunology; clinical and experimental rheumatology; international journal of molecular sciences; rheumatology international</td></tr><tr><td>Terms:</td><td>familial mediterranean fever; pyroptosis; nlrp3; colchicine; nlrp3 inflammasome</td></tr></table>"	"-0.8084"	"-0.1874"	2	3303	613929	63	322	2417
368	368	"<table><tr><td>Micro-level field:</td><td>368</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>catheterization and cardiovascular interventions; american journal of cardiology; international journal of cardiology; eurointervention; journal of the american college of cardiology</td></tr><tr><td>Terms:</td><td>sirolimus; bioresorbable vascular scaffold; paclitaxel; stent; unprotected</td></tr></table>"	"-0.9063"	"0.0023"	2	7651	260354	62	883	2482
1423	1423	"<table><tr><td>Micro-level field:</td><td>1423</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of anxiety disorders; behaviour research and therapy; depression and anxiety; cognitive therapy and research; journal of affective disorders</td></tr><tr><td>Terms:</td><td>anxiety sensitivity; social anxiety; worry; intolerance; panic disorder</td></tr></table>"	"-0.4538"	"0.5744"	2	3172	272133	62	444	1826
37	37	"<table><tr><td>Micro-level field:</td><td>37</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>public health nutrition; appetite; bmc public health; nutrients; international journal of obesity</td></tr><tr><td>Terms:</td><td>childhood overweight; infancy; adolescent obesity; breakfast; family meal</td></tr></table>"	"-0.5623"	"0.3489"	2	11101	870461	61	1513	2916
525	525	"<table><tr><td>Micro-level field:</td><td>525</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>plos neglected tropical diseases; acta tropica; american journal of tropical medicine and hygiene; parasites & vectors; plos one</td></tr><tr><td>Terms:</td><td>visceral leishmaniasis; psychodidae; viannia; leishmania infantum; phlebotominae</td></tr></table>"	"-0.6247"	"-0.2595"	2	5732	248085	61	1274	2541
451	451	"<table><tr><td>Micro-level field:</td><td>451</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>thrombosis and haemostasis; thrombosis research; journal of thrombosis and haemostasis; blood coagulation & fibrinolysis; blood</td></tr><tr><td>Terms:</td><td>par; activated protein c; protease activated receptor; factor v leiden; tissue factor pathway inhibitor</td></tr></table>"	"-0.876"	"-0.0798"	2	6851	384171	61	431	2404
1110	1110	"<table><tr><td>Micro-level field:</td><td>1110</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>annals of surgery; annals of surgical oncology; hpb; hepato-gastroenterology; surgical endoscopy and other interventional techniques</td></tr><tr><td>Terms:</td><td>laparoscopic liver resection; colorectal metastase; portal vein embolization; alpps; liver surgery</td></tr></table>"	"-0.9544"	"-0.1562"	2	4509	177526	61	333	1730
34	34	"<table><tr><td>Micro-level field:</td><td>34</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>antimicrobial agents and chemotherapy; mycoses; medical mycology; journal of clinical microbiology; journal of antimicrobial chemotherapy</td></tr><tr><td>Terms:</td><td>candida albican; invasive aspergillosis; candidemia; mucormycosis; candida species</td></tr></table>"	"-0.6411"	"-0.2539"	2	13022	551639	58	2299	2780
453	453	"<table><tr><td>Micro-level field:</td><td>453</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>hepatology; journal of hepatology; liver transplantation; transplantation proceedings; liver international</td></tr><tr><td>Terms:</td><td>budd chiari syndrome; hepatorenal syndrome; spontaneous bacterial peritonitis; portal hypertension; esophageal varice</td></tr></table>"	"-0.9173"	"-0.0819"	2	6024	250424	58	1328	2044
969	969	"<table><tr><td>Micro-level field:</td><td>969</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of thrombosis and haemostasis; blood; thrombosis and haemostasis; platelets; haemophilia</td></tr><tr><td>Terms:</td><td>thrombotic microangiopathy; adamts13; thrombotic thrombocytopenic purpura; von willebrand disease; hemolytic uremic syndrome</td></tr></table>"	"-0.8703"	"-0.1205"	2	5222	298876	58	354	2258
2159	2159	"<table><tr><td>Micro-level field:</td><td>2159</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biomechanics; journal of strength and conditioning research; journal of applied physiology; european journal of applied physiology; journal of experimental biology</td></tr><tr><td>Terms:</td><td>functional electrical stimulation; proprioceptive neuromuscular facilitation; fes; static stretching; foam rolling</td></tr></table>"	"-0.7407"	"0.2258"	2	2220	114722	58	214	1620
2711	2711	"<table><tr><td>Micro-level field:</td><td>2711</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>xenotransplantation; transplantation proceedings; transplantation; american journal of transplantation; current opinion in organ transplantation</td></tr><tr><td>Terms:</td><td>leflunomide; xenotransplantation; porcine endogenous retrovirus; dihydroorotate dehydrogenase; baboon</td></tr></table>"	"-0.8176"	"-0.1848"	2	1345	72010	58	141	1794
2404	2404	"<table><tr><td>Micro-level field:</td><td>2404</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of agricultural and food chemistry; food chemistry; molecules; phytotherapy research; journal of functional foods</td></tr><tr><td>Terms:</td><td>nobiletin; naringin; hesperidin; tangeretin; citrus</td></tr></table>"	"-0.6241"	"-0.388"	2	1011	184540	57	237	2209
19	19	"<table><tr><td>Micro-level field:</td><td>19</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>frontiers in microbiology; plos one; scientific reports; nutrients; gut microbes</td></tr><tr><td>Terms:</td><td>gut microbiome; obesity; short chain fatty acid; alterations; fecal microbiota transplantation</td></tr></table>"	"-0.6492"	"-0.2069"	2	12843	2234456	54	1567	3393
326	326	"<table><tr><td>Micro-level field:</td><td>326</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>international journal of environmental research and public health; frontiers in psychology; plos one; frontiers in public health; frontiers in psychiatry</td></tr><tr><td>Terms:</td><td>mental health; depression; anxiety; loneliness; stress</td></tr></table>"	"-0.4419"	"0.5651"	2	6920	483915	54	1231	2723
622	622	"<table><tr><td>Micro-level field:</td><td>622</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of neuroscience; plos one; neuroscience; journal of comparative neurology; cerebral cortex</td></tr><tr><td>Terms:</td><td>adult neurogenesis; reelin; nestin; subventricular zone; new neuron</td></tr></table>"	"-0.7884"	"-0.1276"	2	6139	847093	54	1093	2568
2418	2418	"<table><tr><td>Micro-level field:</td><td>2418</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Sources:</td><td>amino acids; journal of biological chemistry; plant physiology and biochemistry; biochemical journal; frontiers in plant science</td></tr><tr><td>Terms:</td><td>polyamine; spermidine; ornithine decarboxylase; polyamine metabolism; putrescine</td></tr></table>"	"-0.5398"	"-0.3302"	2	1698	140597	54	343	2059
189	189	"<table><tr><td>Micro-level field:</td><td>189</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>dental materials; journal of dentistry; operative dentistry; american journal of dentistry; dental materials journal</td></tr><tr><td>Terms:</td><td>dental erosion; dentin hypersensitivity; dental resin composite; toothpaste; non carious cervical lesion</td></tr></table>"	"-0.1496"	"-0.3349"	2	8091	219726	53	677	2726
119	119	"<table><tr><td>Micro-level field:</td><td>119</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>leukemia & lymphoma; blood; british journal of haematology; journal of clinical oncology; annals of hematology</td></tr><tr><td>Terms:</td><td>follicular lymphoma; lymphoid tissue lymphoma; angioimmunoblastic t cell lymphoma; refractory hodgkin lymphoma; mantle cell lymphoma</td></tr></table>"	"-0.9142"	"-0.2208"	2	9827	424295	52	1305	2239
76	76	"<table><tr><td>Micro-level field:</td><td>76</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>international journal of chronic obstructive pulmonary disease; european respiratory journal; chest; respiratory medicine; american journal of respiratory and critical care medicine</td></tr><tr><td>Terms:</td><td>copd exacerbation; chronic obstructive pulmonary disease; emphysema; lung volume reduction surgery; copd</td></tr></table>"	"-0.7824"	"-0.0533"	2	13534	589932	51	2068	2801
418	418	"<table><tr><td>Micro-level field:</td><td>418</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>gynecologic oncology; international journal of gynecological cancer; european journal of gynaecological oncology; international journal of gynecological pathology; journal of clinical oncology</td></tr><tr><td>Terms:</td><td>advanced ovarian cancer; borderline ovarian tumor; ovarian torsion; ovarian cancer patient</td></tr></table>"	"-0.9334"	"-0.1816"	2	6291	343575	51	566	2295
54	54	"<table><tr><td>Micro-level field:</td><td>54</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of alzheimers disease; alzheimers & dementia; neurology; international journal of geriatric psychiatry; dementia and geriatric cognitive disorders</td></tr><tr><td>Terms:</td><td>subjective cognitive decline; normative data; education; subjective memory complaint; validity</td></tr></table>"	"-0.6553"	"0.2021"	2	13364	1048087	50	1778	2970
1365	1365	"<table><tr><td>Micro-level field:</td><td>1365</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>european journal of medicinal chemistry; chemico-biological interactions; molecules; bioorganic & medicinal chemistry; bioorganic chemistry</td></tr><tr><td>Terms:</td><td>butyrylcholinesterase; cholinesterase inhibitor; huperzine; tacrine; rivastigmine</td></tr></table>"	"-0.6285"	"-0.3459"	2	2841	297812	50	550	2419
1281	1281	"<table><tr><td>Micro-level field:</td><td>1281</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>haemophilia; journal of thrombosis and haemostasis; thrombosis and haemostasis; blood coagulation & fibrinolysis; blood</td></tr><tr><td>Terms:</td><td>haemophilium; inhibitor development; haemophilia patient; recombinant activated factor vii</td></tr></table>"	"-0.9009"	"-0.0484"	2	4748	90525	50	537	1843
1642	1642	"<table><tr><td>Micro-level field:</td><td>1642</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biological chemistry; biochimica et biophysica acta-molecular and cell biology of lipids; biochemical and biophysical research communications; plos one; biochemical journal</td></tr><tr><td>Terms:</td><td>bryostatin; protein kinase d; phospholipase d; rack1; diacylglycerol kinase</td></tr></table>"	"-0.7787"	"-0.2332"	2	2535	296334	50	369	2172
